date,temperature,rain,weekend,event,sales
2025-01-01,16.5,1,0,0,72
2025-01-02,14.5,0,0,1,102
2025-01-03,20.1,0,0,1,119
2025-01-04,14.1,0,1,0,95
2025-01-05,16.4,0,1,0,88
2025-01-06,12.8,0,0,0,77
2025-01-07,20.4,0,0,0,89
2025-01-08,14.6,0,0,0,79
2025-01-09,14.6,0,0,0,77
2025-01-10,16.5,0,0,1,102
2025-01-11,19.2,0,1,0,97
2025-01-12,12.9,1,1,0,81
2025-01-13,19.3,0,0,0,89
2025-01-14,16.9,0,0,0,82
2025-01-15,16.0,0,0,0,87
2025-01-16,18.5,0,0,1,110
2025-01-17,15.7,0,0,0,84
2025-01-18,21.0,1,1,0,101
2025-01-19,15.5,1,1,0,84
2025-01-20,16.8,0,0,0,82
2025-01-21,20.8,1,0,0,88
2025-01-22,19.6,1,0,0,75
2025-01-23,18.6,0,0,0,95
2025-01-24,19.1,0,0,0,86
2025-01-25,18.4,0,1,0,103
2025-01-26,16.7,1,1,0,85
2025-01-27,22.1,1,0,0,85
2025-01-28,19.8,1,0,1,109
2025-01-29,17.5,0,0,0,83
2025-01-30,20.7,0,0,0,92
2025-01-31,15.7,0,0,0,79
2025-02-01,19.6,0,1,0,106
2025-02-02,21.0,1,1,0,96
2025-02-03,14.6,0,0,0,79
2025-02-04,20.7,0,0,0,103
2025-02-05,20.1,0,0,0,91
2025-02-06,24.2,0,0,0,102
2025-02-07,25.2,0,0,0,93
2025-02-08,18.1,0,1,0,98
2025-02-09,16.6,0,1,0,98
2025-02-10,18.6,1,0,0,84
2025-02-11,19.1,1,0,1,101
2025-02-12,24.1,1,0,0,82
2025-02-13,16.9,0,0,1,109
2025-02-14,22.7,0,0,0,99
2025-02-15,23.6,1,1,0,103
2025-02-16,20.1,0,1,1,131
2025-02-17,23.1,0,0,0,92
2025-02-18,28.0,0,0,0,108
2025-02-19,19.5,0,0,0,92
2025-02-20,25.5,0,0,0,103
2025-02-21,22.0,0,0,0,90
2025-02-22,22.6,1,1,0,101
2025-02-23,22.9,0,1,0,118
2025-02-24,24.9,0,0,0,95
2025-02-25,19.9,1,0,1,107
2025-02-26,22.5,0,0,1,123
2025-02-27,24.7,1,0,1,114
2025-02-28,20.9,1,0,0,74
2025-03-01,24.1,1,1,0,96
2025-03-02,20.9,0,1,1,132
2025-03-03,23.8,1,0,0,81
2025-03-04,27.0,0,0,0,109
2025-03-05,25.4,1,0,1,118
2025-03-06,25.5,1,0,0,110
2025-03-07,26.9,1,0,0,97
2025-03-08,21.8,0,1,0,107
2025-03-09,31.1,0,1,0,117
2025-03-10,22.8,0,0,0,101
2025-03-11,22.1,0,0,0,97
2025-03-12,24.5,0,0,0,95
2025-03-13,18.3,1,0,0,77
2025-03-14,22.1,0,0,1,118
2025-03-15,26.0,0,1,0,121
2025-03-16,23.1,0,1,0,107
2025-03-17,20.8,1,0,0,86
2025-03-18,31.0,0,0,0,117
2025-03-19,28.5,0,0,0,103
2025-03-20,26.1,0,0,0,106
2025-03-21,15.1,0,0,0,75
2025-03-22,29.7,0,1,0,117
2025-03-23,29.2,0,1,1,141
2025-03-24,21.9,0,0,0,96
2025-03-25,25.1,1,0,0,88
2025-03-26,29.7,0,0,0,103
2025-03-27,24.5,1,0,1,116
2025-03-28,25.8,0,0,0,98
2025-03-29,23.2,0,1,0,115
2025-03-30,27.7,1,1,0,111
2025-03-31,22.5,1,0,0,82
2025-04-01,24.9,0,0,0,100
2025-04-02,26.6,1,0,0,92
2025-04-03,27.5,0,0,1,134
2025-04-04,28.9,0,0,1,132
2025-04-05,26.0,1,1,0,106
2025-04-06,22.5,0,1,0,120
2025-04-07,28.4,1,0,0,100
2025-04-08,24.9,0,0,0,95
2025-04-09,27.9,0,0,0,105
2025-04-10,26.1,0,0,0,99
2025-04-11,25.6,0,0,0,98
2025-04-12,23.4,0,1,1,137
2025-04-13,20.5,1,1,1,113
2025-04-14,22.6,1,0,0,84
2025-04-15,27.3,0,0,0,103
2025-04-16,24.7,0,0,0,97
2025-04-17,25.6,1,0,0,87
2025-04-18,24.3,0,0,1,125
2025-04-19,25.3,0,1,0,115
2025-04-20,24.6,0,1,0,116
2025-04-21,30.9,0,0,1,132
2025-04-22,31.0,0,0,0,107
2025-04-23,18.0,0,0,0,83
2025-04-24,25.3,0,0,0,109
2025-04-25,21.5,1,0,0,85
2025-04-26,20.2,1,1,1,129
2025-04-27,27.6,1,1,0,107
2025-04-28,18.9,1,0,0,84
2025-04-29,23.6,0,0,0,103
2025-04-30,23.9,1,0,1,113
2025-05-01,22.4,0,0,0,97
2025-05-02,24.1,0,0,0,100
2025-05-03,19.0,0,1,0,109
2025-05-04,28.2,0,1,1,146
2025-05-05,29.6,1,0,0,107
2025-05-06,25.3,1,0,0,97
2025-05-07,26.4,0,0,0,94
2025-05-08,22.4,0,0,0,98
2025-05-09,28.0,1,0,1,114
2025-05-10,17.9,0,1,1,125
2025-05-11,16.7,0,1,0,97
2025-05-12,23.8,0,0,0,92
2025-05-13,22.5,0,0,0,99
2025-05-14,20.9,0,0,0,87
2025-05-15,22.1,0,0,0,89
2025-05-16,28.2,0,0,0,106
2025-05-17,20.1,1,1,1,121
2025-05-18,21.7,1,1,0,97
2025-05-19,20.3,0,0,0,87
2025-05-20,17.3,0,0,0,91
2025-05-21,23.4,0,0,0,98
2025-05-22,21.2,0,0,0,87
2025-05-23,19.2,0,0,0,81
2025-05-24,19.3,0,1,1,123
2025-05-25,26.2,1,1,0,111
2025-05-26,21.2,0,0,0,88
2025-05-27,17.8,0,0,0,84
2025-05-28,23.5,0,0,1,131
2025-05-29,16.4,0,0,0,85
2025-05-30,18.5,0,0,0,84
2025-05-31,20.5,0,1,1,126
2025-06-01,19.4,1,1,1,114
2025-06-02,18.3,0,0,0,90
2025-06-03,20.2,0,0,0,94
2025-06-04,17.7,0,0,0,88
2025-06-05,14.7,0,0,0,79
2025-06-06,21.3,0,0,0,84
2025-06-07,17.3,0,1,0,99
2025-06-08,22.1,0,1,0,106
2025-06-09,20.5,0,0,0,98
2025-06-10,20.5,1,0,1,104
2025-06-11,19.7,1,0,0,76
2025-06-12,18.7,0,0,0,86
2025-06-13,19.3,0,0,0,86
2025-06-14,19.3,0,1,0,101
2025-06-15,20.6,0,1,0,104
2025-06-16,11.7,0,0,0,68
2025-06-17,17.7,0,0,1,118
2025-06-18,20.0,1,0,0,68
2025-06-19,12.9,0,0,0,81
2025-06-20,19.0,1,0,0,89
2025-06-21,15.6,0,1,0,91
2025-06-22,17.0,1,1,1,111
2025-06-23,19.7,0,0,0,86
2025-06-24,15.6,1,0,0,66
2025-06-25,18.6,1,0,0,72
2025-06-26,17.4,0,0,0,94
2025-06-27,10.6,0,0,1,103
2025-06-28,16.6,0,1,0,92
2025-06-29,15.9,0,1,1,125
2025-06-30,13.1,0,0,0,78
2025-07-01,20.0,1,0,1,102
2025-07-02,12.1,1,0,0,63
2025-07-03,15.1,0,0,0,85
2025-07-04,14.3,1,0,0,66
2025-07-05,11.5,0,1,1,104
2025-07-06,10.5,1,1,0,69
2025-07-07,13.4,0,0,0,69
2025-07-08,6.0,1,0,0,51
2025-07-09,19.4,0,0,0,94
2025-07-10,12.9,0,0,1,95
2025-07-11,21.3,0,0,0,92
2025-07-12,14.0,0,1,0,92
2025-07-13,13.1,0,1,0,88
2025-07-14,12.3,0,0,0,82
2025-07-15,16.6,0,0,0,72
2025-07-16,8.5,0,0,0,63
2025-07-17,15.3,0,0,0,86
2025-07-18,14.5,0,0,0,73
2025-07-19,10.6,0,1,0,88
2025-07-20,11.3,1,1,1,100
2025-07-21,10.8,0,0,0,77
2025-07-22,13.5,0,0,0,75
2025-07-23,12.5,0,0,1,93
2025-07-24,9.8,0,0,0,74
2025-07-25,6.6,0,0,0,66
2025-07-26,4.8,0,1,1,108
2025-07-27,9.3,1,1,0,75
2025-07-28,11.1,0,0,0,72
2025-07-29,11.5,0,0,0,64
2025-07-30,11.0,1,0,0,61
2025-07-31,8.7,0,0,1,88
2025-08-01,10.7,0,0,0,66
2025-08-02,13.1,0,1,0,93
2025-08-03,10.6,0,1,0,91
2025-08-04,4.2,0,0,0,52
2025-08-05,11.1,0,0,0,68
2025-08-06,7.6,0,0,0,58
2025-08-07,6.3,0,0,0,67
2025-08-08,10.6,1,0,0,62
2025-08-09,7.3,0,1,0,80
2025-08-10,12.3,0,1,0,86
2025-08-11,8.6,0,0,0,76
2025-08-12,10.7,1,0,0,58
2025-08-13,10.3,0,0,0,62
2025-08-14,8.1,0,0,0,69
2025-08-15,9.3,1,0,0,61
2025-08-16,10.6,0,1,0,88
2025-08-17,9.2,0,1,0,84
2025-08-18,4.6,1,0,1,79
2025-08-19,7.6,1,0,0,58
2025-08-20,10.4,0,0,0,68
2025-08-21,6.2,0,0,0,60
2025-08-22,11.1,0,0,0,67
2025-08-23,11.6,0,1,0,89
2025-08-24,7.9,0,1,0,85
2025-08-25,7.3,1,0,0,59
2025-08-26,5.4,0,0,0,67
2025-08-27,5.5,0,0,0,68
2025-08-28,5.5,0,0,0,59
2025-08-29,3.6,0,0,0,53
2025-08-30,6.4,0,1,0,78
2025-08-31,9.4,1,1,0,72
2025-09-01,3.0,1,0,0,47
2025-09-02,6.8,0,0,0,66
2025-09-03,4.3,0,0,0,55
2025-09-04,4.2,0,0,1,89
2025-09-05,10.3,0,0,0,67
2025-09-06,4.3,0,1,0,76
2025-09-07,10.5,0,1,1,119
2025-09-08,4.0,1,0,1,71
2025-09-09,6.6,0,0,0,64
2025-09-10,5.2,0,0,0,56
2025-09-11,5.5,0,0,0,69
2025-09-12,4.0,1,0,0,49
2025-09-13,13.1,1,1,0,78
2025-09-14,7.5,0,1,1,114
2025-09-15,7.2,1,0,1,84
2025-09-16,7.8,0,0,0,68
2025-09-17,9.5,0,0,1,97
2025-09-18,4.8,0,0,0,60
2025-09-19,6.3,1,0,0,50
2025-09-20,5.8,0,1,0,76
2025-09-21,7.1,1,1,0,80
2025-09-22,5.9,1,0,0,59
2025-09-23,6.9,0,0,1,89
2025-09-24,3.7,0,0,0,58
2025-09-25,5.5,0,0,0,57
2025-09-26,3.4,1,0,0,48
2025-09-27,9.7,0,1,0,84
2025-09-28,0.7,0,1,0,55
2025-09-29,1.9,0,0,0,57
2025-09-30,1.2,1,0,0,46
2025-10-01,7.0,0,0,0,63
2025-10-02,0.4,1,0,0,37
2025-10-03,4.3,0,0,0,60
2025-10-04,1.3,1,1,0,64
2025-10-05,6.0,1,1,0,69
2025-10-06,7.0,0,0,0,70
2025-10-07,5.6,1,0,0,54
2025-10-08,3.0,0,0,0,65
2025-10-09,5.5,0,0,0,57
2025-10-10,3.8,0,0,0,48
2025-10-11,3.8,0,1,0,60
2025-10-12,7.5,1,1,0,72
2025-10-13,2.3,0,0,1,79
2025-10-14,5.2,0,0,0,54
2025-10-15,4.6,0,0,0,59
2025-10-16,4.6,0,0,0,55
2025-10-17,2.3,0,0,0,53
2025-10-18,3.7,0,1,0,75
2025-10-19,9.6,0,1,1,113
2025-10-20,5.7,1,0,1,73
2025-10-21,8.2,0,0,0,69
2025-10-22,9.6,0,0,0,70
2025-10-23,10.9,0,0,0,72
2025-10-24,3.8,1,0,0,45
2025-10-25,7.4,0,1,0,76
2025-10-26,11.0,0,1,1,114
2025-10-27,6.0,0,0,0,62
2025-10-28,5.2,1,0,0,42
2025-10-29,4.6,0,0,0,67
2025-10-30,6.8,0,0,0,68
2025-10-31,9.5,1,0,0,58
2025-11-01,8.3,1,1,0,63
2025-11-02,10.8,1,1,0,83
2025-11-03,8.0,0,0,0,67
2025-11-04,6.5,0,0,1,93
2025-11-05,9.0,0,0,0,53
2025-11-06,5.7,1,0,0,45
2025-11-07,3.0,1,0,0,51
2025-11-08,6.8,0,1,0,80
2025-11-09,7.3,0,1,0,73
2025-11-10,2.5,0,0,0,52
2025-11-11,6.3,0,0,0,60
2025-11-12,6.5,1,0,0,63
2025-11-13,10.6,0,0,0,72
2025-11-14,7.4,0,0,1,89
2025-11-15,10.0,0,1,0,84
2025-11-16,10.6,0,1,0,87
2025-11-17,14.3,0,0,0,77
2025-11-18,11.5,0,0,0,67
2025-11-19,6.4,1,0,0,62
2025-11-20,11.0,1,0,0,64
2025-11-21,15.7,1,0,0,71
2025-11-22,12.0,0,1,0,94
2025-11-23,13.7,0,1,0,86
2025-11-24,8.7,1,0,0,59
2025-11-25,13.9,1,0,0,70
2025-11-26,12.8,1,0,0,59
2025-11-27,8.4,1,0,0,63
2025-11-28,9.0,0,0,0,68
2025-11-29,14.4,0,1,0,89
2025-11-30,7.8,0,1,0,73
2025-12-01,14.8,0,0,0,84
2025-12-02,13.0,0,0,0,74
2025-12-03,6.0,0,0,0,53
2025-12-04,14.5,1,0,0,71
2025-12-05,12.8,0,0,1,102
2025-12-06,8.4,0,1,0,80
2025-12-07,7.9,1,1,0,65
2025-12-08,13.7,1,0,0,59
2025-12-09,8.2,0,0,0,65
2025-12-10,11.6,1,0,0,56
2025-12-11,6.7,1,0,0,55
2025-12-12,12.3,0,0,0,81
2025-12-13,12.2,1,1,1,107
2025-12-14,9.8,0,1,0,81
2025-12-15,8.4,1,0,0,53
2025-12-16,11.4,0,0,0,79
2025-12-17,9.9,0,0,0,80
2025-12-18,14.5,0,0,0,81
2025-12-19,12.9,0,0,0,75
2025-12-20,11.3,0,1,0,80
2025-12-21,10.7,0,1,0,94
2025-12-22,15.0,0,0,0,88
2025-12-23,11.7,0,0,0,68
2025-12-24,13.7,0,0,0,73
2025-12-25,14.5,1,0,0,61
2025-12-26,8.0,0,0,0,67
2025-12-27,19.2,0,1,0,105
2025-12-28,16.0,0,1,0,97
2025-12-29,15.0,0,0,0,72
2025-12-30,12.4,0,0,0,80
2025-12-31,11.6,1,0,1,86
